artist,id
Atomship,4PbKVheWA7ToOxOrqqzjol
Smokey September,32PcXsAFr3ArYaHSYr8qGh
Neural Groove Machine,3ec16T2vMbjJi4luOqt6ps
Artimus Ion,4iimzs4RqqIpjoZJZzkAKa
DeuceAI,0XyjWS1YJkC8UhsQH8Peia
SHATTERGLASS SCALLYWAGS,3S5JxEhFCWzUV7tcZjdobq
Novi,7LfxHLrmQNqEggZvjaQL1A
dark_cloud,1J8PIKDtlSTIvOU4d11pt5
The Devil Inside,7p9c2UBqYagnd5aoNEeupC
AngelOfAnarchy,5dt8gRLDwIgSS0uwxvxqqJ
Juan1Love,5KEXmG6eYlD1swKpHxM3QK
Kiyo,3WPTsMdNZY3cEeWUcKrkpt
Souls Divided,1N6y7GzUt4woDtRRYhvkaF
Animator,4XscE4PACFqLUbvJz2c1Zg
Awake Past 3,6a9sa1cMkU55p7QGbjSzNu
BOI WHAT,3abEoUbTl6Mghy9aLG3uiC
CASPIAN,24Gk85sqJkK1LYdcmqTuCb
Cherry 葵 Nightcore,4H502w3aY9YWNIPWTx8adz
Darth Marley,6VI82roojGceqRlKUdoGdw
ELBO,7g7RstiUlGnVrvZFTdyJmy
Eclipsion,5zukOLGMi343Pj6kGzAaYm
Elwood Cornell,1i5BeHGiQIPXp5lPRGjXLg
Fall To Pieces,2WRavyZrFClZuCdi5v5OSu
Football Poet,333TthZsHl90l3kyAOyUZr
Gutter Grinders,5OwtTivjNpwddFWRKjOoyz
Inhuman 666,0CUZIIXfh6lAXwBJTg4OUX
Jet Fuel & Ginger Ales,1dPgPwYz4zapkdMwTIxq7y
Lone Colt Union,42NHhDEVQ2jpoEJaottYCo
LoreBeats,2KotddUer8fdL7VYD0e5gh
Machine Six,7sEQ2pLJ4WsqfSEyJ3PKOP
Ministry of Dark,1rE5lFciclbNo2P4WGvKAp
Pastor Brad,4KcLdMaw3ai9gReju7aAaZ
Shining Light Music,0RDQPIztTEel1T0n8ksDxd
Sinamore,5uWev2ZYR7IPbfNNxViw4N
SoundVirtuoso,4HttIE8v2Y7BzgLcm8DomY
Ted Patton,78neaD0anI7EFsAeuh9A7J
The Sowers,0dYOdESA00EJVxrtE06vrG
Under The Flood,3EVBBkbegkGQuygq4zKexD
WizFlow Tunes,3k4z6ZMlCxVDMuRTyLdOQ4
Echo Harper,12jCGsTve2SG5DBcNKkGlQ
The Velvet Sundown,2GRtyAXWUiisGYub5SGMrb
Ayla - Chan,2QKHU2aU2m7dW6fBPuwZGa
The Obsoletes,6sF6xkrFyEuy3j0OgHa7JZ
KARAVIRS,7y25aQ8W1jYhdkTdDdiUjH
Full Metal Patriot,0Yv8vhih8fGBPB4XgARXo1
DavetheAngryTrucker,5v0U0OKoQDQ3FVyirKLKh7
Merciless Cult,0pyoFB4Ii4JUag5Gqt9ssJ
Yiikes,4hxEQaGymmj3a2kZm1ClMW
Mystic Riffs,6vESiai7KVad4r1YbNMVjR
Bleeding Verse,6CrsGj3Zj4gIM3rQSU7DeW
Deathly Hours,07XIuuPrpw0kcGrJApsbQp
Beyond Disdain,2MpVNPYFczBeNjPXePyVB4
Cyan The Hedgehog,3brergMilis6XAwpQ7kcrv
Ash to Eden,5KlBi01OWLrjDZJKBFtPkd
HC,56GBvodDNSoVotWW8yMxnd
Cimmeris,3lEGBkNp6scKHXFvTt9yWi
Eiden XII,7aN8OCNif0ahcKC8D4dJa7
MythicRealm,7hc7GsgfI7mQaj63Uj74v8
Mika Akakuma,7M3FZ9zfhnYIwg4MzDccSz
Underworld Vibes,7xDFi8dW3QLrTiuP1OyZrm
Hroth,6fAbPELNKoQiLUfynqiDfD
EchoesOfVelandria,7vfaikWkQ79OwYJlKJoK7S
Shady Maze,1paUiHugNAWW4r5AoHGEZ1
MOTEL FLAME,03c7RJZms60rqsvBYssMpT
Invictus,5rYgnIcAHaJXh359SMpXwI
Tokt,01CEsyk6W2k8Pgw5TrEty0
Gate Of None,1xN6mAG0tBVYIyb1zmWVoO
Hollow Ember,0QTmurxKiwTJdbsvzR6pJi
Scarlet Songs,5khZTtXXaGJtWEyG2Y0mm3
Johnny Paige,0aVBeenhRBzu7w5faVvVPQ
Highway To Zion,4dy76YdN2TwYMNy75T98Pv
Hope Kills Reality,6ac7VTI0rtTVOCq7p9JWa5
Samuel Cabana,7vhaBOU1bDfiEjSpcKeI2d
Sailor.EXE,34uYCfmKkC1KFeu8LXLrTM
Luna Veex,3lo4fh3URRdOcEiCnmOcz8
Rebel Redeemed 316,6L2qEC7B3xRifDLNJYmKSQ
Linkon Mark,68BOvCDhMe69C2j4nEhNex
Ash and Echo,0EyCnWOctgTmSzl1Oy5DxR
Phantom Verse,0VxEkJyHqpsYabj1Br8dck
Rock 'n' Roll Roland,4A7472cGafnCIE4kY618Lq
Shadows Awake,6RFklxKvT8Ulmv7lWID1t3
Serenity's Soul Music AI,4ZSPmjprPFZwIn2yiL5SgG
Matthew’s Silent Chapter,2JUTGg9txxR3B3acyTlFp7
From Ashes to Glory,60ftFstCO6CXWckbkvMMcg
J Bumi,04KukyCGwGzV7OphBeN5qa
Ruinwell,51AtjPMKiaQEC6WFBt67xM
SireWolf,0xDqVY7j4jW3pnzU03N5m4
Nyracy,0Cblw7zzhFFeOFzED35KAW
Iris,4uB9syXvRXeqYE9gprSgRd
Katie,72APT5urnVdbzdJ2xoh6nF
I Needed This Dave,1atTAZjHUqisi3Kavz7ADA
KamNox,4giUCuob7KQttfJNM36qFb
The Hollow,1Q43bUUmvTTVi6Eue5MdJq
DEADLUVE,3CwHxE8HXuezwO8DobgbiM
Obsidian Swing,6ydIK3fZelJNbF5KwgZUga
Manifested Dreams,4wppf2VUZmaZ6SQK2UXpVT
Native Raven,5iwZfM9zqWdzYDAzVx9Uvu
Nightshade Anthem,5j0ka2YxqWRvZWwJxl90Np
False Saints,70b0lU3W9kVBBXzlNNGaEk
Zerough Deigh,4sk3eiZeK99D0iG52ggI6z
Exiles of Eden,3pzvk3yrObZeEDM2wPwcBG
Soul`s Cry,6wkcDg1ZWTbCGW5cUPdZ4A
Masters of Prophecy,3vV6kgqJHi1rg46i4Iwzr1
Sunday Night Low,3E8vJy6ND5emzVHCGlyHp4
LadyAn,7baklZiKsChz4UqHTpynJg
Aeriel,2PD0BR1xfo5KhUYni6hU7R
Wyrmship,1fNGfx13SYscLWdXyDxJ1m
Crimson Vale,5GhrfzEjXYGDqEnnM1IahS
Christian Music Creations,0EexfNs9ZfQ3lWDmO7Csm7
Last Ashes,2OYfMb2VZJEwhjFWPLzY9s
SLØWBREAKER,5D6W8bUUI4927rYQdov726
Rhymes of the Damned,1QNNBq8cPoDBzZX2Zz9lUG
Nethervale,5FVRvmqGesugyQ2whGmItk
Crimson Sorrow,2Gw3WYi60bVLy6YztUsxkT
Crimson Collapse,2aS24QHQcFbLYynpaTl3Ia
ConVex,3OSP9uAGtduEBMaVI1DHRm
Beyond Awareness,4QLBCc2W2uxqr6ZbBMjMBs
Future K1d,7uFJ92LH32VSDrBzMTsKWi
Phantom Veil,38VxxXFe30VFUMpK2PhBMA
Neytan,29sDg3OXbYCg0SDuYBqP2G
TRUTH:S3RUM,2bRCIbSmgAXitACxT5ZpQy
Superblack,0Oc2WB1Dm822nGjH4OOBq4
Histrocore,4ByrpboEDAdufNYs66Bn3g
Runes of the North,3F9TzfzqfNcCnNdLIOUuLh
Bardcore Medieval Style,4kcJKv2RjQK7qjG1oAndr1
Bardcore Music,4KAX9o2eGyd0oKMpQnecUr
Beedle The Bardcore,17Yevp6CsEKXIZvvZtUoDv
Sandstorm Serenade,538Id3jHm4AWvVYBSeGMQL
Shadow Beloved,5L5yD7T9JncTF1bbzCoIQm
Shadow Keeper,54JhJXHG81D89i3ZD77Ult
Virelia,4Rkn7txj59CVY5DRnIfmUM
The Good News Music,1cz6ohoCzkc04pfrJUYgUg
NEON ONI,13ONzC3gAhmuRU25I6saTm
Glasswell,3oSH61fBdu6lifGhA1H4OP
Dark Noir,5COVZd3zir997pQ2dDNMnJ
The Bardic DM,0TVQlzIjzD4ToSVeXIB15H
Bad Apples,1s7brFQBWfA9z2YR7bl9nh
HEXXENMIND,29GuyTDTPnxeRQhEdbmGLn
George Blum,6mMM9LMyhpn1W9YRLDOxdj
Storm Chant,4kl77CEQby1Pb06oZmDrg1
Chicago Blues Radio,3RX733YpbQYXITt8F4fefd
Instrumentalista,6NEcigBzNnRUZkMjogHkBk
Blues Delight,57epw1GllQjYwxUGqlnm5D
The Sad Guitar,3qWNkkQTBCcLACqfyGYLCP
Misery Guitar Strings,6dTs00T63nGA6Ki47yJLfO
Dumpster Grooves,0qgzAKmWeHXQRRxYB9wpvX
Oliver Rustwood,49KJtW8BDx4T5flfQkdoso
The Reiker Vexx,3LB31MtcV0n5HNuaOjC6B5
RhythmSoul,1syWCbl5SdxYurO98VbXE4
Harley Brothers Band,5FZ7MbKlOPp2TFYkZQrcoo
Midnight Bayou,2hLLhxpSORSBKO3kqJzQxw
Ashes of Eden,5Cw0RywOrfPAzlLEsrBC73
